Time (sec),Thrust (N),Temperature (°C)
3.981,42.8676,382.23
3.982,43.28927,382.23
3.983,43.500107,382.23
3.984,44.13261,382.23
3.985,43.71094,382.23
3.986,44.13261,382.23
3.987,43.921776,382.23
3.989,43.921776,382.23
3.99,43.71094,382.23
3.99,43.500107,382.23
3.991,43.078438,382.23
3.992,43.078438,382.23
3.993,43.71094,382.23
3.994,43.921776,382.23
3.995,44.13261,382.23
3.996,43.921776,382.23
3.997,43.71094,382.23
3.998,43.500107,382.23
3.999,43.71094,382.23
4.0,44.13261,382.23
4.0,44.34345,382.23
4.001,44.765118,382.23
4.002,43.921776,382.23
4.003,44.34345,382.23
4.004,43.921776,382.23
4.005,44.13261,382.23
4.006,43.921776,382.23
4.007,43.71094,382.23
4.008,43.71094,382.23
4.009,43.500107,382.23
4.01,43.71094,382.23
4.011,43.28927,382.23
4.011,43.078438,382.23
4.012,42.8676,382.23
4.013,42.8676,382.23
4.014,42.656765,382.23
4.015,42.656765,382.23
4.016,42.8676,382.23
4.017,42.656765,382.23
4.018,43.28927,382.23
4.019,43.71094,382.23
4.02,43.71094,382.23
4.021,43.28927,382.23
4.021,42.656765,382.23
4.022,42.445927,382.23
4.023,42.8676,382.23
4.024,42.656765,382.23
4.025,42.235096,382.23
4.026,41.813423,382.23
4.027,42.024258,382.23
4.028,42.235096,382.23
4.029,42.445927,382.23
4.03,42.8676,382.23
4.032,42.024258,382.23
4.033,42.024258,382.23
4.033,42.235096,382.23
4.034,42.024258,382.23
4.035,41.60259,382.23
4.036,41.391754,382.23
4.037,41.813423,382.23
4.038,42.8676,382.23
4.039,42.656765,382.23
4.04,42.656765,382.23
4.041,42.235096,382.23
4.042,42.235096,382.23
4.043,42.445927,382.23
4.043,42.656765,382.23
4.044,42.445927,382.23
4.045,42.8676,382.23
4.046,42.445927,382.23
4.047,42.235096,382.23
4.048,42.445927,382.23
4.049,42.8676,382.23
4.05,42.445927,382.23
4.051,42.656765,382.23
4.052,42.024258,382.23
4.053,42.024258,382.23
4.054,41.813423,382.23
4.054,41.813423,382.23
4.055,42.024258,382.23
4.056,42.024258,382.23
4.057,41.391754,382.23
4.058,41.180916,382.23
4.059,41.180916,382.23
4.06,40.970085,382.23
4.061,40.759247,382.23
4.062,40.759247,382.23
4.063,40.548412,382.23
4.064,40.970085,382.23
4.064,40.970085,382.23
4.065,40.970085,382.23
4.066,41.180916,382.23
4.067,40.548412,382.23
4.068,40.337578,382.23
4.069,39.915905,382.23
4.07,40.548412,382.23
4.071,40.970085,382.23
4.072,40.548412,382.23
4.074,40.337578,382.23
4.075,40.337578,382.23
4.076,40.548412,382.23
4.076,40.759247,382.23
4.077,40.759247,382.23
4.078,40.337578,382.23
4.079,40.548412,382.23
4.08,40.548412,382.23
4.081,40.337578,382.23
4.082,40.548412,382.23
4.083,40.337578,382.23
4.084,40.337578,382.23
4.085,40.337578,382.23
4.086,40.126743,382.23
4.086,40.337578,382.23
4.087,40.970085,382.23
4.088,40.548412,382.23
4.089,40.548412,382.23
4.09,41.180916,382.23
4.091,40.548412,382.23
4.092,40.970085,382.23
4.093,40.970085,382.23
4.094,40.548412,382.23
4.095,40.759247,382.23
4.096,40.548412,382.23
4.097,40.337578,382.23
4.097,40.548412,382.23
4.098,40.970085,382.23
4.099,40.126743,382.23
4.1,40.337578,382.23
4.101,40.337578,382.23
4.102,39.705074,382.23
4.103,40.548412,382.23
4.104,40.548412,382.23
4.105,40.337578,382.23
4.106,40.548412,382.23
4.107,40.548412,382.23
4.107,40.548412,382.23
4.108,40.548412,382.23
4.109,40.548412,382.23
4.11,40.126743,382.23
4.111,40.126743,382.23
4.112,39.915905,382.23
4.113,40.126743,382.23
4.114,40.126743,382.23
4.115,40.126743,382.23
4.117,40.548412,382.23
4.118,40.126743,382.23
4.119,40.126743,382.23
4.119,40.126743,382.23
4.12,40.126743,382.23
4.121,40.337578,382.23
4.122,40.126743,382.23
4.123,39.705074,382.23
4.124,39.2834,382.23
4.125,39.494236,382.23
4.126,39.705074,382.23
4.127,39.705074,382.23
4.128,39.494236,382.23
4.129,39.915905,382.23
4.129,39.915905,382.23
4.13,40.548412,382.23
4.131,40.126743,382.23
4.132,40.126743,382.23
4.133,40.126743,382.23
4.134,40.126743,382.23
4.135,39.915905,382.23
4.136,40.548412,382.23
4.137,39.494236,382.23
4.138,38.861732,382.23
4.139,39.2834,382.23
4.14,39.2834,382.23
4.14,39.705074,382.23
